Task: Task 1, Test Name: Side bar filter [type], DOM Id: li#LI____78, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [type], DOM Id: li#LI____83, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [type], DOM Id: li#LI____88, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [type], DOM Id: li#LI____93, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [colors], DOM Id: li#LI____103, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [colors], DOM Id: li#LI____108, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [colors], DOM Id: li#LI____113, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [colors], DOM Id: li#LI____118, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [colors], DOM Id: li#LI____123, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____133, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____138, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____143, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____148, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [brands], DOM Id: li#LI____153, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____163, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____168, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____173, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Side bar filter [price], DOM Id: li#LI____178, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____213, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____238, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
Task: Task 1, Test Name: Product grid, DOM Id: figure#FIGURE____262, Browser: chrome, Viewport: 1200 x 700, Device: laptop, Status: Pass
